              hetero_est  error_est
BLANK1          0.002272   0.003107
BLANK2          0.005199   0.004325
BM260           0.024512   0.008215
BM261           0.023098   0.007516
BM527           0.023534   0.008352
BM690           0.023481   0.007896
CAS178101       0.030954   0.010627
CAS178111       0.026538   0.009051
CORBIDI5457     0.019133   0.004089
H0805           0.022897   0.007729
H0879           0.022311   0.007699
H1888           0.026508   0.008801
H1964           0.023710   0.008108
H3705           0.019572   0.008746
H4108           0.023654   0.008582
H4109           0.023423   0.007460
H4113           0.024405   0.008755
H4137           0.023511   0.007652
HJ0174          0.030982   0.010034
HJ0313          0.031907   0.011707
JFT726          0.026498   0.009251
JJS490          0.026293   0.008591
LSUMZH12538a    0.024991   0.008177
LSUMZH12538b    0.028476   0.009568
LSUMZH12545a    0.025596   0.008785
LSUMZH12545b    0.025162   0.008807
LSUMZH14094     0.023862   0.008004
LSUMZH14099     0.024652   0.007708
LSUMZH14327a    0.024686   0.008675
LSUMZH14327b    0.027199   0.008962
LSUMZH15471     0.025582   0.008440
MTR01679        0.017421   0.005856
MTR04529        0.009821   0.003822
MTR06037        0.021943   0.007853
MTR06249        0.018704   0.005138
MTR06262        0.023711   0.008048
MTR06329        0.023075   0.007913
MTR12159        0.027168   0.009857
MTR12298        0.024207   0.008851
MTR12860        0.026910   0.008907
MTR13088        0.023326   0.007886
MTR13253        0.024533   0.008618
MTR13628        0.020297   0.007651
MTR18729        0.022268   0.007971
MTR18813        0.022027   0.007628
MTR18816        0.026389   0.009290
MTR18870        0.027985   0.009254
MTR18923        0.022066   0.008510
MTR18994        0.022981   0.007878
MTR19062        0.023469   0.008439
MTR19178        0.023324   0.007800
MTR19188        0.024139   0.008285
MTR19231        0.023559   0.007498
MTR20541        0.013147   0.004223
MTR20711        0.021503   0.007649
MTR20736        0.021383   0.007470
MTR20738        0.022817   0.008013
MTR20754        0.013689   0.004439
MTR21992        0.025480   0.009091
MTR22009        0.024012   0.008344
MTR23059        0.023397   0.008397
MTR23096        0.022378   0.007783
MTR23120        0.023737   0.008272
MTR23155        0.022469   0.007246
MTR23156        0.022033   0.007053
MTR24119        0.023296   0.007574
MTR24137        0.026914   0.008692
MTR24167        0.022972   0.007611
MTR25524        0.025965   0.008366
MTR25537        0.023892   0.008147
MTR25538        0.025579   0.008524
MTR25597        0.021409   0.007726
MTR25668        0.023713   0.007781
MTR25978        0.027280   0.008365
MTR25984        0.023949   0.007732
MTR25985        0.024678   0.008054
MTR26007        0.026376   0.008783
MTR28056        0.022731   0.007375
MTR28194        0.022976   0.007493
MTR28201        0.021703   0.007165
MTR28206        0.024769   0.008549
MTR28265        0.027269   0.009961
MTR28368        0.021890   0.007111
MTR28392        0.022503   0.007513
MTR28393        0.022898   0.007510
MTR28413        0.022897   0.007316
MTR28414        0.026125   0.008856
MTR28534        0.022326   0.007638
MTR28535        0.020967   0.007057
MTR28538        0.022898   0.007836
MTR28563        0.023106   0.007595
MTR28564        0.022045   0.007198
MTR28565        0.026644   0.009581
MTR28576        0.024276   0.008285
MTR28577        0.025499   0.008745
MTR28578        0.022391   0.007721
MTR28579        0.026021   0.008710
MTR28680        0.023901   0.007804
MTR33060        0.027827   0.009281
MTR33061        0.024586   0.008580
MTR33063        0.023875   0.008056
MTR33431        0.022400   0.008359
MTR33486        0.013295   0.002672
MTR33729        0.019013   0.006409
MTR34156        0.023761   0.008675
MTR34236        0.019433   0.007306
MTR34394        0.023771   0.007901
MTR34395        0.023818   0.008107
MTR34472        0.029347   0.009825
MTR34501        0.022307   0.008122
MTR34595        0.026160   0.008813
MTR35000        0.024649   0.008276
MTR35696        0.023241   0.007635
MTR35697        0.022781   0.007695
MTR35698        0.025203   0.008130
MTR35702        0.026693   0.008252
MTR35708        0.026554   0.007781
MTR35709        0.024783   0.008087
MTR35861        0.025299   0.008482
MTR35895        0.024579   0.008589
MTR35916        0.028720   0.010322
MTR35939        0.023512   0.007774
MTR35968        0.025224   0.008297
MTR36074        0.023022   0.007992
MTR36086        0.023515   0.008195
MTR36139        0.023265   0.007789
MTR36275        0.025070   0.008326
MTR36477        0.022817   0.007821
MTR36540        0.023467   0.008332
MTR36731        0.023594   0.007592
MTR36732        0.028928   0.008944
MTR36746        0.024242   0.008338
MTR36819        0.024523   0.008330
MTR36859        0.022313   0.007958
MTR36879        0.025544   0.008788
MTR36939        0.022661   0.007737
MTR36940        0.023857   0.008147
MTR36941        0.024273   0.007857
MTR36942        0.026438   0.008926
MTR36971        0.023323   0.007489
MTR37027        0.023952   0.007965
MTR37287        0.022874   0.008000
MTR39952        0.016795   0.005852
MTR40040        0.016572   0.004813
MTR40119        0.024073   0.008074
MTR40243        0.024751   0.007878
MTR40374        0.024978   0.008199
MTR40382        0.022548   0.007313
MTR40847        0.023443   0.007867
MTR40904        0.023413   0.007746
MTR40906        0.024795   0.008887
MTR40916        0.021833   0.007311
MTR41369        0.017340   0.005637
MTR41431        0.021553   0.006927
MTR41440        0.020443   0.006568
MTR41563        0.022991   0.007754
MTR967911       0.026201   0.008864
MTR977706       0.025158   0.007702
PEU488          0.023991   0.008098
PHV4109         0.014686   0.005298
PRMS498         0.025373   0.008452
PRMS499         0.022410   0.007710
PRMS501         0.024248   0.007903
PRMS525         0.023143   0.007665
PRMS528         0.023467   0.007677
