locality,dewlap_group,country,state,latitude,longitude,bio_17,bio_16,bio_14,bio_13,bio_12,bio_11,bio_10,bio_06,bio_05,bio_01,moisture,cloudcover,elevation,slope,ruggedness,roughness,shrubs,flooded,herbaceous,deciduous,evergreen
Alvaraes,Gray,Brazil,AM,-3.2103,-64.8053,419,987,131,332,2909,250,262,227,290,257,0.38,6613,34,1.4,5.56,18,6,15,2,0,33
Barrolandia_EE_Gregorio_Bondar_CEPLAN,Yellow,Brazil,BA,-16.0942,-39.2157,303,450,93,152,1546,227,264,204,289,247,-0.02,6879,90.5,1.03,6,16,0,0,0,15,41
Belo_Monte_Vitoria_do_Xingu,Pink,Brazil,PA,-3.3244,-51.8587,110,1092,36,369,2276,248,260,224,289,254,0.23,7508,149,1.86,11.69,29,0,0,0,0,81
Boca_do_Acre_ramal_bode_preto,Pink,Brazil,AM,-9.005,-67.1815,72,1024,20,346,2210,240,257,202,292,250,0.14,7864,162,1.99,8,22,0,0,0,0,57
Boca_do_Acre_ramal_Cruzeirinho,Pink,Brazil,AM,-8.7598,-67.3089,73,915,21,317,2007,243,259,206,293,252,0.14,7458,116,0.58,2.88,8,5,0,0,0,42
Cacauali,Gray,Brazil,AM,-1.4341,-61.8267,372,817,117,281,2152,251,263,228,292,257,0.22,6877,45,1.87,6.31,20,0,0,0,0,100
Coari,Pink,Brazil,AM,-4.0868,-63.0968,250,788,81,269,2169,253,263,227,292,258,0.3,6721,22.5,2.34,8.06,23,0,13,0,0,37
Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,Pink,Brazil,AC,-7.8639,-72.417,170,818,48,282,2088,239,253,205,285,248,0.22,7505,226.5,1.79,7,21.5,0,0,0,0,100
Cruzeiro_do_Sul_Vila_de_Sao_Pedro,Gray,Brazil,AC,-7.7014,-72.7413,191,841,54,289,2180,242,256,208,287,251,0.24,7562,191.5,1.35,7.13,21.5,0,0,0,0,63
Estacao_Ecologica_Estadual_Wenceslau_Guimaraes_EEEWG,Gray,Brazil,BA,-13.5785,-39.7086,249,415,82,142,1399,200,235,174,266,220,-0.06,6991,602,12.16,48.38,143.5,0,0,0,0,72
Fonte_Boa,Yellow,Brazil,AM,-2.528,-66.162,429,792,142,268,2463,247,259,225,287,254,0.4,6940,37,3.12,8.56,43,0,20,0,0,40
Lago_Chaviana_Itapuru_margem_direita_Rio_Purus,Gray,Brazil,AM,-4.3094,-61.8148,340,850,106,284,2572,255,264,227,295,258,0.36,7172,48.5,1.05,6.31,16.5,0,0,0,0,100
Linhares_Floresta_Nacional_de_Goytacazes,Yellow,Brazil,ES,-19.4483,-40.0804,138,561,42,188,1258,227,269,205,293,249,-0.19,6411,33.5,0.69,2.5,11,0,0,0,0,100
Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,Gray,Brazil,AC,-7.3857,-73.0627,235,848,69,289,2309,241,254,208,285,250,0.28,7458,222.5,1.98,9.19,26,0,0,0,0,82
Mancio_Lima_Estrada_do_Lixao,Gray,Brazil,AC,-7.6813,-72.9688,195,796,55,275,2074,241,255,208,287,250,0.25,7497,206.5,1.08,6.13,16.5,0,0,0,0,90
Maruim_Sao_Sebastiao_Rio_Abacaxis,Yellow,Brazil,AM,-4.3089,-58.6364,243,817,79,275,2086,257,275,231,309,264,0.28,7466,37.5,2.4,8.31,25.5,0,17,0,0,76
